name,max seats,price per plate,stars,views,min seats,region
what a comic show,60,250,3,1273,2,south delhi 
the grand hotel ,100,1600,4,482,1,south west delhi
prime street cafe ,100,1000,4,435,25,central delhi
ampm restaurant ,60,500,3,1749,60,west delhi
7 old town pub and cafe ,100,1300,3,64,100,south delhi
playboy cafe ,100,950,3,2190,5,central delhi
salad chef ,25,350,3,966,4,south west delhi 
rajdhani,30,350,3,1340,10,central delhi
garam masala,35,600,3,1371,10,south delhi 
carnatic cafe ,30,300,4.5,383,10,south delhi
odean social,100,2000,3,621,20,central delhi
pikkle,100,1000,4,276,3,central delhi
artusi ristorante e bar ,85,400,4,292,4,south delhi
itc welcome hotel ,80,1200,4,1405,4,south west delhi
the metropolitan hotel,50,1750,3,1033,3,central delhi
flavours of punjab,50,350,3.6,450,10,central delhi
hotel regent intercontinental,30,600,3,789,5,central delhi
the sky bar ,80,1300,3,576,4,west delhi
yellow multicusine restaurant and party lounge,100,450,4,77,10,north west delhi
diggin cafe chanakyapuri,80,1100,4,239,10,south delhi 
marine drivve club and courtyard ,250,1100,4,621,4,west delhi
street kitchen and grill ,50,600,3,401,3,central delhi
the golden dragon restaurants,70,850,3,1097,2,south west delhi 
elmas,150,600,3,1235,1,south delhi
duck u ,25,500,3,1130,15,south delhi
charcha,45,750,2,52,10,north east delhi
1 cafe lounge,200,1100,3,2015,1,central delhi
cafe turtle ,50,500,3,1099,2,south delhi
kiara soul kitchen ,4,1250,4,322,3,south delhi
karimas ,40,500,3,1026,20,south delhi 
the big chill,15,600,4,661,10,south west delhi 
yauatcha ,50,1500,3,888,10,south west delhi
pal inn ,80,500,3,1015,30,west delhi
taste vishal hotel vishal residency ,40,1000,3,725,10,south delhi
narulas ,50,500,3,871,10,central delhi
pal inn ,80,500,3,116,5,west delhi
love grill,50,400,2,42,10,north east delhi
adish restaurant ,100,500,3,1296,5,south delhi 
pind balluchi ,85,900,3,824,4,south delhi
